significand_bits,unit_roundoff,steps,h,replicates,rms_state_error,empirical_mse,exact_bias_squared,sample_bias_squared,empirical_variance_component,variance_trace_unbiased,estimated_expected_mse,rms_relative_energy_error
8,0.00390625,2048,0.048828125,128,0.1325334570157931,0.017565117228557078,0.00010131069612683703,0.00020970707923611819,0.01735541014932096,0.01749206692215026,0.017593377618277097,0.2590779938918009
8,0.00390625,2896,0.034530386740331494,128,0.16715436141787926,0.027940580541019007,2.533657322618605e-05,0.00020869720143513226,0.027731883339583874,0.027950244625722327,0.027975581198948513,0.30872950722537706
8,0.00390625,4096,0.0244140625,128,0.17349685961147762,0.03010116029504477,6.331183684688811e-06,9.793212843849436e-05,0.030003228166606277,0.030239474057681917,0.030245805241366604,0.3337666847160481
8,0.00390625,5793,0.017262213015708613,128,0.21307130887394463,0.045399382665255915,1.5823467947628095e-06,0.000379809133211028,0.04501957353204489,0.04537405836300587,0.04537564070980063,0.4198466209816917
8,0.00390625,8192,0.01220703125,128,0.23494516632782547,0.05519923118080957,3.9568674060037325e-07,0.0005361823565141662,0.0546630488242954,0.05509346653157332,0.05509386221831392,0.4342057056913398
8,0.00390625,11585,0.008631851532153647,128,0.2621999309891342,0.06874880381070672,9.892927997963101e-08,0.0010483048986889335,0.06770049891201779,0.0682335737066006,0.06823367263588058,0.48791094666672163
8,0.00390625,16384,0.006103515625,128,0.3802297235416001,0.14457464266452166,2.4730227078461893e-08,0.0007151473866558826,0.1438594952778658,0.14499224720918757,0.14499227193941466,0.8062281205853643
8,0.00390625,23170,0.0043159257660768235,128,0.4118104729410217,0.16958786562390796,6.183055655732513e-09,0.0007691571765468262,0.16881870844736113,0.170147989616238,0.17014799579929366,0.8159333214619005
8,0.00390625,32768,0.0030517578125,128,0.45970743013259197,0.2113309213191119,1.545636150137427e-09,0.004027940658525962,0.20730298066058594,0.20893528759492125,0.2089352891405574,1.0027984126000589
8,0.00390625,46341,0.0021579163160052655,128,0.4704802394245116,0.22135165568894577,3.8640724180014873e-10,0.000899595857259636,0.22045205983168614,0.22218790282248682,0.22218790320889406,0.9681290342652292
8,0.00390625,65536,0.00152587890625,128,0.5548545982850062,0.3078636252380155,9.660221164817191e-11,0.001210344632200636,0.30665328060581487,0.30906787336649055,0.3090678734630928,1.2111565869647352
8,0.00390625,92682,0.0010789581580026328,128,0.5860485990018842,0.3434529603920713,2.4150446416376503e-11,0.0010302091256879542,0.34242275126638333,0.3451189934023391,0.34511899342648955,1.2876331364151987
8,0.00390625,131072,0.000762939453125,128,0.6436740425303061,0.4143162730273064,6.037637504773663e-12,0.0027426265249731858,0.4115736465023332,0.4148143838763673,0.41481438388240494,1.6862191933467265
10,0.0009765625,64,1.5625,128,1.4853308216710075,2.2062076498058705,2.205956412722246,2.2061731782140814,3.447159178904258e-05,3.474302164564921e-05,2.205991155743892,0.6036611367713299
10,0.0009765625,91,1.098901098901099,128,0.3234517396669124,0.10462102789355207,0.10479737910878975,0.1045775579467206,4.346994683146477e-05,4.381222987738185e-05,0.10484119133866714,0.1967225323063669
10,0.0009765625,128,0.78125,128,1.916307687085379,3.6722351515825147,3.673395357862124,3.6721841796577217,5.09719247929752e-05,5.1373278531502507e-05,3.673446731140656,0.10041116299430103
10,0.0009765625,181,0.5524861878453039,128,1.1974977169085173,1.4340007820011116,1.4328602304922946,1.4339323454497381,6.843655137345195e-05,6.897542185670748e-05,1.4329292059141514,0.039965555184390496
10,0.0009765625,256,0.390625,128,0.6339294590295087,0.40186655902544555,0.4013816543506467,0.4017616483895905,0.0001049106358550489,0.0001057367038539076,0.4014873910545006,0.016739950577540248
10,0.0009765625,362,0.27624309392265195,128,0.3215730862746158,0.10340924981618149,0.10317775364611904,0.10326748954365461,0.00014176027252688073,0.0001428764951452026,0.10332063014126425,0.01942418501724188
10,0.0009765625,512,0.1953125,128,0.16230416126196914,0.026342640762951283,0.025929028886009182,0.026143772717833576,0.00019886804511770606,0.0002004339352367431,0.026129462821245925,0.02196060961092375
10,0.0009765625,724,0.13812154696132597,128,0.08272845610991628,0.006843997450330343,0.0064898465478193355,0.006561097624496606,0.00028289982583373785,0.00028512738351746815,0.006774973931336804,0.0280825343547729
10,0.0009765625,1024,0.09765625,128,0.04338937677231313,0.0018826380166897462,0.0016215248428259326,0.001485027902384466,0.00039761011430528015,0.0004007409026068966,0.0020222657454328293,0.032762995314363726
10,0.0009765625,1448,0.06906077348066299,128,0.030407102933367496,0.0009245919088004062,0.00040547099949445617,0.00040304684323350885,0.0005215450655668974,0.0005256517196264793,0.0009311227191209355,0.03942529994087756
10,0.0009765625,2048,0.048828125,128,0.029499597778348263,0.0008702262690843299,0.00010131069612683703,0.00011814977702156002,0.0007520764920627698,0.0007579983542049963,0.0008593090503318334,0.045202880127996975
10,0.0009765625,2896,0.034530386740331494,128,0.0328002274371203,0.0010758549199268192,2.533657322618605e-05,1.4486026211266293e-05,0.001061368893715553,0.00106972612909914,0.001095062702325326,0.05539695815911469
10,0.0009765625,4096,0.0244140625,128,0.04687272865970023,0.0021970526920058833,6.331183684688811e-06,6.938928499678822e-05,0.002127663407009095,0.002144416662182395,0.0021507478458670836,0.08412581474793135
10,0.0009765625,5793,0.017262213015708613,128,0.047190264594917056,0.0022269210725382824,1.5823467947628095e-06,2.646689008110373e-05,0.002200454182457179,0.0022177805933426683,0.0022193629401374313,0.07847203839161934
10,0.0009765625,8192,0.01220703125,128,0.0603178372148892,0.0036382414862818732,3.9568674060037325e-07,2.4489653536835426e-05,0.003613751832745038,0.00364220657158555,0.0036426022583261504,0.10342940664772587
10,0.0009765625,11585,0.008631851532153647,128,0.0703752135336569,0.0049526706799078056,9.892927997963101e-08,8.28588336289615e-06,0.0049443847965449095,0.004983316960297232,0.004983415889577212,0.12276390065920828
10,0.0009765625,16384,0.006103515625,128,0.09004955599772807,0.008108922535387964,2.4730227078461893e-08,1.0062045834192876e-05,0.008098860489553772,0.008162631044589627,0.008162655774816705,0.16002953075483836
10,0.0009765625,23170,0.0043159257660768235,128,0.11417825055007463,0.013036672898675617,6.183055655732513e-09,0.00027062064291939546,0.012766052255756222,0.01286657235225824,0.012866578535313896,0.21524530868278816
10,0.0009765625,32768,0.0030517578125,128,0.10048321318657026,0.010096876132297728,1.545636150137427e-09,0.00017113031178752708,0.009925745820510201,0.010003901299411855,0.010003902845048006,0.168080830276349
10,0.0009765625,46341,0.0021579163160052655,128,0.14181083087462001,0.02011031175335008,3.8640724180014873e-10,0.00013267845043517013,0.01997763330291491,0.02013493750215046,0.0201349378885577,0.25686309671650925
10,0.0009765625,65536,0.00152587890625,128,0.1685001833925849,0.02839231180333475,9.660221164817191e-11,1.2304874038149093e-06,0.028391081315930933,0.028614633137316214,0.028614633233918427,0.30211883813208257
10,0.0009765625,92682,0.0010789581580026328,128,0.19029139430699044,0.03621081474729851,2.4150446416376503e-11,9.945341471154444e-05,0.036111361332586966,0.03639570276040261,0.036395702784553056,0.3292723389268801
10,0.0009765625,131072,0.000762939453125,128,0.22158412477950867,0.049099524354300865,6.037637504773663e-12,0.0012922216936428318,0.04780730266065803,0.04818373811467896,0.04818373812071659,0.3906053004504542
12,0.000244140625,64,1.5625,128,1.485338282531454,2.2062298135534895,2.205956412722246,2.2062277668712347,2.0466822547859924e-06,2.0627978630913893e-06,2.2059584755201094,0.6035715047544382
12,0.000244140625,91,1.098901098901099,128,0.32368185689364243,0.10476994448211642,0.10479737910878975,0.1047671369993013,2.807482815114782e-06,2.8295889790133225e-06,0.10480020869776877,0.1979246899242449
12,0.000244140625,128,0.78125,128,1.916564199633029,3.6732183313149926,3.673395357862124,3.6732149012612263,3.430053766351194e-06,3.4570620637240383e-06,3.673398814924188,0.09919925817595965
12,0.000244140625,181,0.5524861878453039,128,1.1971803113875152,1.4332406979739079,1.4328602304922946,1.4332367709140288,3.927059879060835e-06,3.957981610392026e-06,1.432864188473905,0.037968913330090504
12,0.000244140625,256,0.390625,128,0.633762241823088,0.40165457916062636,0.4013816543506467,0.4016488803113903,5.6988492360687815e-06,5.74372206469924e-06,0.4013873980727114,0.0038882357228824885
12,0.000244140625,362,0.27624309392265195,128,0.32133644775075515,0.10325711265307379,0.10317775364611904,0.103248501863055,8.610790018792613e-06,8.678591515003576e-06,0.10318643223763405,0.004825276592830341
12,0.000244140625,512,0.1953125,128,0.16112430775479614,0.025961042549462257,0.025929028886009182,0.02595004156439358,1.1000985068676528e-05,1.108760699835114e-05,0.025940116493007533,0.005522187343371577
