duration,significand_bits,unit_roundoff,steps,h,replicates,rms_state_error,empirical_mse,exact_bias_squared,sample_bias_squared,empirical_variance_component,variance_trace_unbiased,estimated_expected_mse
50.0,16,1.52587890625e-05,3500,0.014285714285714285,512,0.0006748380668422972,4.554064164594488e-07,1.8630659995683833e-07,1.7450446520437405e-07,2.809019512550748e-07,2.814516615315035e-07,4.677582614883418e-07
50.0,16,1.52587890625e-05,3750,0.013333333333333334,512,0.0006851331412388414,4.6940742122380213e-07,1.4137588046165746e-07,1.4312179337415927e-07,3.262856278496429e-07,3.269241515832038e-07,4.683000320448613e-07
50.0,16,1.52587890625e-05,4000,0.0125,512,0.0006359527855525687,4.044359454520714e-07,1.0920949738917158e-07,9.36900988420104e-08,3.10745846610061e-07,3.113539598128204e-07,4.20563457201992e-07
50.0,16,1.52587890625e-05,4250,0.011764705882352941,512,0.0006418502855508647,4.119717890617265e-07,8.569285982685044e-08,6.946410373699321e-08,3.425076853247333e-07,3.431779547676389e-07,4.288708145944893e-07
50.0,16,1.52587890625e-05,4500,0.011111111111111112,512,0.0006878625482928867,4.7315488534398395e-07,6.81789467584478e-08,7.455082181000349e-08,3.986040635339805e-07,3.99384110625045e-07,4.675630573834928e-07
50.0,16,1.52587890625e-05,4750,0.010526315789473684,512,0.0006779509240104607,4.596174553666374e-07,5.491941373920808e-08,5.204885982705045e-08,4.075685955395869e-07,4.0836618574612234e-07,4.6328559948533043e-07
50.0,16,1.52587890625e-05,5000,0.01,512,0.0006762250863020762,4.572803673442504e-07,4.473220468393874e-08,3.270991055246634e-08,4.2457045679178407e-07,4.254013187424529e-07,4.7013352342639163e-07
50.0,16,1.52587890625e-05,5250,0.009523809523809525,512,0.0006900331432937311,4.761457388438268e-07,3.6801294741742564e-08,3.908508362096172e-08,4.370606552228651e-07,4.3791595983191177e-07,4.7471725457365433e-07
50.0,16,1.52587890625e-05,5500,0.00909090909090909,512,0.0007027655062120463,4.938793567214737e-07,3.055269651393502e-08,2.3715075880128382e-08,4.701642808413453e-07,4.710843674966121e-07,5.016370640105471e-07
50.0,16,1.52587890625e-05,5750,0.008695652173913044,512,0.0007156752995870695,5.121911344390416e-07,2.557578183309907e-08,2.4517061981064043e-08,4.876740724579776e-07,4.886284248502633e-07,5.142042066833624e-07
50.0,16,1.52587890625e-05,6000,0.008333333333333333,512,0.0007290857097673302,5.315659721869316e-07,2.1572242312131665e-08,2.7018211504503896e-08,5.045477606824278e-07,5.055351339910039e-07,5.271073763031356e-07
50.0,16,1.52587890625e-05,6250,0.008,512,0.0007529897478441948,5.669935603584641e-07,1.8322309574166064e-08,2.0025025005276863e-08,5.469685353531872e-07,5.480389238763833e-07,5.663612334505494e-07
50.0,16,1.52587890625e-05,6500,0.007692307692307693,512,0.000769910840992883,5.927627030783684e-07,1.566198685142326e-08,1.7980316058900462e-08,5.747823870194679e-07,5.759072057807585e-07,5.915691926321818e-07
50.0,16,1.52587890625e-05,6750,0.007407407407407408,512,0.0007658490024922954,5.865246946184439e-07,1.3467444237003475e-08,1.788572937027446e-08,5.686389652481694e-07,5.69751761657657e-07,5.832192058946604e-07
50.0,16,1.52587890625e-05,7000,0.007142857142857143,512,0.0008067482782214481,6.508427844132709e-07,1.164415863517162e-08,9.906157974000797e-09,6.409366264392702e-07,6.421909055516757e-07,6.538350641868473e-07
50.0,16,1.52587890625e-05,7250,0.006896551724137931,512,0.0007883791158885116,6.215416303691513e-07,1.0119248100876495e-08,6.1004363617912365e-09,6.154411940073601e-07,6.166455799056132e-07,6.267648280064897e-07
50.0,16,1.52587890625e-05,7500,0.006666666666666667,512,0.0007867771328043231,6.190182567037914e-07,8.835989956262816e-09,6.438625238909027e-09,6.125796314648824e-07,6.137784174364379e-07,6.226144073927007e-07
50.0,16,1.52587890625e-05,7750,0.0064516129032258064,512,0.0008030971173508914,6.449649798973114e-07,7.749852812001366e-09,3.618904094737956e-09,6.413460758025735e-07,6.426011561857488e-07,6.503510089977502e-07
50.0,16,1.52587890625e-05,8000,0.00625,512,0.0008477198980744665,7.186290255913838e-07,6.825591829213005e-09,3.9784717455979424e-09,7.146505538457859e-07,7.160490872192611e-07,7.228746790484742e-07
50.0,16,1.52587890625e-05,8250,0.006060606060606061,512,0.0008363451839023993,6.994732666367382e-07,6.035099926710942e-09,5.512120311487816e-09,6.939611463252504e-07,6.953191916213859e-07,7.013542915480969e-07
50.0,16,1.52587890625e-05,8500,0.0058823529411764705,512,0.0008460770549394919,7.158463828950839e-07,5.355802512738871e-09,3.793957206358747e-09,7.120524256887251e-07,7.134458746626756e-07,7.188016771754144e-07
50.0,16,1.52587890625e-05,8750,0.005714285714285714,512,0.0008749739234621191,7.655793667386942e-07,4.769447180348278e-09,9.229005952110214e-09,7.56350360786584e-07,7.578304984789256e-07,7.625999456592739e-07
50.0,16,1.52587890625e-05,9000,0.005555555555555556,512,0.0009066256811911508,8.219701257953182e-07,4.261183299429807e-09,4.129680873149355e-09,8.178404449221688e-07,8.194409154601769e-07,8.237020987596067e-07
50.0,16,1.52587890625e-05,9250,0.005405405405405406,512,0.0009316571477674284,8.679850409861399e-07,3.818856342375956e-09,8.814948581813296e-09,8.591700924043266e-07,8.60851442878699e-07,8.64670299221075e-07
50.0,16,1.52587890625e-05,9500,0.005263157894736842,512,0.0009278002532343577,8.608133099017383e-07,3.432462723425514e-09,5.0215648770350604e-09,8.557917450247032e-07,8.574664842517575e-07,8.60898946975183e-07
50.0,16,1.52587890625e-05,9750,0.005128205128205128,512,0.000905108294641476,8.19221025028801e-07,3.0937255691451706e-09,2.396644017772151e-08,7.952545848510795e-07,7.968108560543106e-07,7.999045816234558e-07
50.0,16,1.52587890625e-05,10000,0.005,512,0.0009196885894407469,8.458271015475106e-07,2.795762325086607e-09,8.377882465379147e-09,8.374492190821314e-07,8.390880629550906e-07,8.418838252801771e-07
100.0,16,1.52587890625e-05,3500,0.02857142857142857,512,0.0035010857351106773,1.2257601324595472e-05,1.1875694727850027e-05,1.195643448290801e-05,3.0116684168746133e-07,3.017562092837186e-07,1.2177450937133746e-05
100.0,16,1.52587890625e-05,4000,0.025,512,0.0026976721400890436,7.277434975412599e-06,6.961223841053023e-06,6.930141415280299e-06,3.4729356013230017e-07,3.4797319527933014e-07,7.309197036332354e-06
100.0,16,1.52587890625e-05,4500,0.022222222222222223,512,0.0021977051074947916,4.829907739508693e-06,4.345818738003621e-06,4.450296396260095e-06,3.7961134324859813e-07,3.8035422258959343e-07,4.726172960593214e-06
100.0,16,1.52587890625e-05,5000,0.02,512,0.0018046647339448863,3.256814801944367e-06,2.851273239083071e-06,2.831616597298884e-06,4.2519820464548275e-07,4.2603029506553263e-07,3.2773035341486037e-06
100.0,16,1.52587890625e-05,5500,0.01818181818181818,512,0.0015299453886041762,2.3407328921111834e-06,1.947448628641442e-06,1.8791602675451522e-06,4.615726245660312e-07,4.624758978039295e-07,2.4099245264453714e-06
100.0,16,1.52587890625e-05,6000,0.016666666666666666,512,0.0013493666584698464,1.820790378990079e-06,1.375023669321583e-06,1.3436461393155917e-06,4.771442396744874e-07,4.780779857403866e-07,1.8531016550619696e-06
100.0,16,1.52587890625e-05,6500,0.015384615384615385,512,0.0011950265733732342,1.4280885110681737e-06,9.982987016772792e-07,9.287569003421568e-07,4.993316107260171e-07,5.003087763047372e-07,1.4986074779820164e-06
100.0,16,1.52587890625e-05,7000,0.014285714285714285,512,0.0011744821592774768,1.3794083424610844e-06,7.421997175598998e-07,7.35661790396301e-07,6.437465520647834e-07,6.450063300531685e-07,1.3872060476130683e-06
100.0,16,1.52587890625e-05,7500,0.013333333333333334,512,0.0011149231905303429,1.2430537207823593e-06,5.632057665815602e-07,6.113546304124955e-07,6.316990903698638e-07,6.329352921122706e-07,1.1961410586938309e-06
100.0,16,1.52587890625e-05,8000,0.0125,512,0.001050661100457962,1.103888748015536e-06,4.350623928487427e-07,4.3267340337688237e-07,6.712153446386537e-07,6.725288776027215e-07,1.1075912704514642e-06
100.0,16,1.52587890625e-05,8500,0.011764705882352941,512,0.0010111904747325403,1.0225061761898204e-06,3.4137777724294116e-07,3.283435838935547e-07,6.941625922962658e-07,6.955210318115227e-07,1.0368988090544638e-06
100.0,16,1.52587890625e-05,9000,0.011111111111111112,512,0.001011933402793734,1.0240092116897052e-06,2.716066857487177e-07,2.7991106769980324e-07,7.440981439899019e-07,7.455543047413499e-07,1.0171609904900676e-06
100.0,16,1.52587890625e-05,9500,0.010526315789473684,512,0.0010236144661837105,1.0477865753805624e-06,2.1878406493417731e-07,1.993243406878584e-07,8.48462234692704e-07,8.50122630455312e-07,1.0689066953894893e-06
100.0,16,1.52587890625e-05,10000,0.01,512,0.0009924975650576532,9.850514166453705e-07,1.7820085312366807e-07,1.5035839083685112e-07,8.346930258085195e-07,8.363264759568727e-07,1.0145273290805409e-06
100.0,16,1.52587890625e-05,10500,0.009523809523809525,512,0.0010128612130519945,1.0258878369051577e-06,1.4660618710335843e-07,1.355408301173517e-07,8.903470067878061e-07,8.920893688363145e-07,1.038695555939673e-06
100.0,16,1.52587890625e-05,11000,0.00909090909090909,512,0.0010313253188163536,1.0636319132316532e-06,1.2171343197514478e-07,1.4494685631515162e-07,9.186850569165017e-07,9.204828750317982e-07,1.042196307006943e-06
100.0,16,1.52587890625e-05,11500,0.008695652173913044,512,0.0010630375946841272,1.1300489277118148e-06,1.01886741502054e-07,1.5236920653046895e-07,9.77679721181346e-07,9.795929887374738e-07,1.0814797302395277e-06
100.0,16,1.52587890625e-05,12000,0.008333333333333333,512,0.0010481226161132772,1.0985610184081403e-06,8.593772681417876e-08,9.562249417763914e-08,1.0029385242305011e-06,1.0049012219295824e-06,1.0908389487437612e-06
100.0,16,1.52587890625e-05,12500,0.008,512,0.0010742879541516908,1.1540946084354254e-06,7.299088466766841e-08,9.665914124658667e-08,1.0574354671888386e-06,1.0595048125258032e-06,1.1324956971934716e-06
100.0,16,1.52587890625e-05,13000,0.007692307692307693,512,0.0011104126338480607,1.2330162174093873e-06,6.239289294504077e-08,5.057606006590897e-08,1.1824401573434784e-06,1.184754130254131e-06,1.2471470231991716e-06
100.0,16,1.52587890625e-05,13500,0.007407407407407408,512,0.0011594308745119701,1.344279952771592e-06,5.365044473883065e-08,6.831718088657245e-08,1.2759627718850197e-06,1.278459763610822e-06,1.3321102083496528e-06
100.0,16,1.52587890625e-05,14000,0.007142857142857143,512,0.0011697487174230047,1.3683120619127643e-06,4.6386984377461756e-08,2.3366781433527083e-08,1.3449452804792372e-06,1.3475772673294901e-06,1.3939642517069518e-06
100.0,16,1.52587890625e-05,14500,0.006896551724137931,512,0.0011531768749301814,1.3298169048737391e-06,4.031216918410676e-08,4.397404157704563e-08,1.2858428632966934e-06,1.2883591898393483e-06,1.328671359023455e-06
100.0,16,1.52587890625e-05,15000,0.006666666666666667,512,0.0011689114110934526,1.3663538869844867e-06,3.520003094353696e-08,3.658013809183794e-08,1.3297737488926487e-06,1.3323760458572134e-06,1.3675760768007503e-06
100.0,16,1.52587890625e-05,15500,0.0064516129032258064,512,0.0011335795355403575,1.2850025633958929e-06,3.087316844416127e-08,4.501352128369345e-08,1.2399890421121995e-06,1.242415635149601e-06,1.2732888035937624e-06
100.0,16,1.52587890625e-05,16000,0.00625,512,0.001185003066438349,1.4042322674682903e-06,2.7191175699872846e-08,3.3725871986649225e-08,1.370506395481641e-06,1.3731884040833664e-06,1.4003795797832392e-06
100.0,16,1.52587890625e-05,16500,0.006060606060606061,512,0.0012210633544535458,1.4909957155893458e-06,2.4042081694659728e-08,3.661212691667624e-08,1.4543835886726697e-06,1.4572297405096026e-06,1.4812718222042624e-06
100.0,16,1.52587890625e-05,17000,0.0058823529411764705,512,0.0012631865369950987,1.59564022724567e-06,2.1335955397702872e-08,2.2517678575300778e-08,1.5731225486703693e-06,1.5762010663781391e-06,1.597537021775842e-06
100.0,16,1.52587890625e-05,17500,0.005714285714285714,512,0.0012358420359977697,1.5273055379391127e-06,1.9000084214398172e-08,1.2494524424751597e-08,1.514811013514361e-06,1.5177754186288706e-06,1.5367755028432689e-06
100.0,16,1.52587890625e-05,18000,0.005555555555555556,512,0.001302680520110013,1.6969765374740942e-06,1.6975307324867834e-08,1.7378579869565868e-08,1.6795979576045283e-06,1.6828848420616802e-06,1.699860149386548e-06
100.0,16,1.52587890625e-05,18500,0.005405405405405406,512,0.0012549799423336228,1.5749746556597034e-06,1.5213204455950527e-08,9.188202276137093e-09,1.5657864533835664e-06,1.5688506147404814e-06,1.584063819196432e-06
100.0,16,1.52587890625e-05,19000,0.005263157894736842,512,0.0012197297120667997,1.4877405704985585e-06,1.36739241047702e-08,2.1266933752101498e-08,1.466473636746457e-06,1.4693434481686613e-06,1.4830173722734315e-06
100.0,16,1.52587890625e-05,19500,0.005128205128205128,512,0.00129779523060889,1.6842724605911822e-06,1.2324493517995579e-08,4.780425368630464e-09,1.6794920352225517e-06,1.6827787123951985e-06,1.6951032059131942e-06
100.0,16,1.52587890625e-05,20000,0.005,512,0.0013277909972472454,1.7630289323708344e-06,1.1137494527894985e-08,1.056337658871109e-08,1.7524655557821234e-06,1.7558950382787615e-06,1.7670325328066564e-06
200.0,16,1.52587890625e-05,7000,0.02857142857142857,512,0.006932171375748718,4.805499998274987e-05,4.688530075434643e-05,4.7461188778097685e-05,5.938112046521837e-07,5.949732618041452e-07,4.7480274016150576e-05
200.0,16,1.52587890625e-05,8000,0.025,512,0.005323767172143962,2.8342496903197717e-05,2.748199523169488e-05,2.76740388003273e-05,6.684581028704173e-07,6.697662400580305e-07,2.815176147175291e-05
200.0,16,1.52587890625e-05,9000,0.022222222222222223,512,0.004277333098233459,1.8295578433243442e-05,1.715630993126887e-05,1.754988636537177e-05,7.456920678716727e-07,7.471513478479382e-07,1.790346127911681e-05
200.0,16,1.52587890625e-05,10000,0.02,512,0.0034472549617229065,1.1883566771123197e-05,1.1255988481534304e-05,1.103132253771629e-05,8.522442334069069e-07,8.53912030341167e-07,1.2109900511875472e-05
200.0,16,1.52587890625e-05,11000,0.01818181818181818,512,0.0029193751212040486,8.522751098305155e-06,7.687856344251282e-06,7.577540091951679e-06,9.452110063534747e-07,9.470607343502524e-07,8.634917078601534e-06
200.0,16,1.52587890625e-05,12000,0.016666666666666666,512,0.002512706908347482,6.3136960072571616e-06,5.428066834077475e-06,5.2363379487139075e-06,1.077358058543254e-06,1.0794663913388377e-06,6.507533225416313e-06
200.0,16,1.52587890625e-05,13000,0.015384615384615385,512,0.002250844999473225,5.066303211653622e-06,3.940870948213598e-06,3.935506703000957e-06,1.130796508652665e-06,1.1330094176715548e-06,5.0738803658851525e-06
200.0,16,1.52587890625e-05,14000,0.014285714285714285,512,0.0020290282749966656,4.116955740735944e-06,2.9298802078867173e-06,2.898320169615159e-06,1.2186355711207852e-06,1.2210203765437221e-06,4.150900584430439e-06
200.0,16,1.52587890625e-05,15000,0.013333333333333334,512,0.0018885451192382626,3.5666026673986636e-06,2.2232794254095355e-06,2.275818477642852e-06,1.2907841897558114e-06,1.293310186213259e-06,3.5165896116227946e-06
200.0,16,1.52587890625e-05,16000,0.0125,512,0.0017724905753097916,3.141722839562036e-06,1.7174209664966763e-06,1.740349424029333e-06,1.4013734155327029e-06,1.4041158292617298e-06,3.121536795758406e-06
200.0,16,1.52587890625e-05,17000,0.011764705882352941,512,0.0016709229011540384,2.7919833416010285e-06,1.3475938469628896e-06,1.3377589677918742e-06,1.4542243738091543e-06,1.4570702140710116e-06,2.804664061033901e-06
200.0,16,1.52587890625e-05,18000,0.011111111111111112,512,0.0015538934028680204,2.414584707476756e-06,1.0721684382415727e-06,9.929252355537916e-07,1.4216594719229647e-06,1.4244415843924811e-06,2.496610022634054e-06
200.0,16,1.52587890625e-05,19000,0.010526315789473684,512,0.001597462466454435,2.5518863317306868e-06,8.636489003216078e-07,8.89352774019288e-07,1.6625335577113987e-06,1.665787048039601e-06,2.529435948361209e-06
